time,num_bacteria,initial_num_phage,initial_num_antibiotic,mean_resistance
16,1,2,1,0.4992442194685811
17,1,2,1,0.4992442194685811
18,1,2,1,0.4992442194685811
19,1,2,1,0.4992442194685811
20,1,2,1,0.4992442194685811
0,1,2,2,0.2824032926045822
1,1,2,2,0.2824032926045822
2,1,2,2,0.2824032926045822
3,1,2,2,0.2824032926045822
4,1,2,2,0.2824032926045822
5,1,2,2,0.2824032926045822
6,1,2,2,0.2824032926045822
7,1,2,2,0.2824032926045822
8,1,2,2,0.3369950788809247
9,1,2,2,0.3369950788809247
10,1,2,2,0.3369950788809247
11,1,2,2,0.3369950788809247
12,1,2,2,0.3369950788809247
13,1,2,2,0.3369950788809247
14,1,2,2,0.3369950788809247
15,1,2,2,0.3369950788809247
16,1,2,2,0.3369950788809247
17,1,2,2,0.3369950788809247
18,1,2,2,0.3369950788809247
19,1,2,2,0.3369950788809247
20,1,2,2,0.3369950788809247
0,1,2,3,0.7292577031485907
1,1,2,3,0.8641696942820045
2,1,2,3,0.8641696942820045
3,1,2,3,0.8641696942820045
4,1,2,3,0.8641696942820045
5,1,2,3,0.8641696942820045
6,1,2,3,0.8641696942820045
7,1,2,3,0.8641696942820045
8,1,2,3,0.8641696942820045
9,1,2,3,0.8641696942820045
10,1,2,3,0.8641696942820045
11,1,2,3,0.8641696942820045
12,1,2,3,0.8641696942820045
13,1,2,3,0.8641696942820045
14,1,2,3,0.8641696942820045
15,1,2,3,0.8641696942820045
16,1,2,3,0.8641696942820045
17,1,2,3,0.8641696942820045
18,1,2,3,0.8641696942820045
19,1,2,3,0.8641696942820045
20,1,2,3,0.8641696942820045
0,1,2,4,0.9971134577918211
1,1,2,4,0.9971134577918211
2,1,2,4,0.9971134577918211
3,1,2,4,0.9971134577918211
4,1,2,4,0.9971134577918211
5,1,2,4,0.9971134577918211
6,1,2,4,0.9971134577918211
7,1,2,4,0.9971134577918211
8,1,2,4,0.9971134577918211
9,1,2,4,0.9971134577918211
10,1,2,4,0.9971134577918211
11,1,2,4,0.9971134577918211
12,1,2,4,0.9971134577918211
13,1,2,4,0.9971134577918211
14,1,2,4,0.9971134577918211
15,1,2,4,0.9971134577918211
16,1,2,4,0.9971134577918211
17,1,2,4,0.9971134577918211
18,1,2,4,0.9971134577918211
19,1,2,4,0.9971134577918211
20,1,2,4,0.9971134577918211
0,1,2,5,0.7674447928689216
1,1,2,5,0.7674447928689216
2,1,2,5,0.7674447928689216
3,1,2,5,0.7674447928689216
4,1,2,5,0.7674447928689216
5,1,2,5,0.7674447928689216
6,1,2,5,0.7674447928689216
7,1,2,5,0.7674447928689216
8,1,2,5,0.7674447928689216
9,1,2,5,0.7674447928689216
10,1,2,5,0.7674447928689216
11,1,2,5,0.7674447928689216
12,1,2,5,0.7674447928689216
13,1,2,5,0.7674447928689216
14,1,2,5,0.7674447928689216
15,1,2,5,0.7674447928689216
16,1,2,5,0.7674447928689216
17,1,2,5,0.7674447928689216
18,1,2,5,0.7674447928689216
19,1,2,5,0.7674447928689216
20,1,2,5,0.7674447928689216
0,1,3,1,0.40182602223552144
1,1,3,1,0.40182602223552144
2,1,3,1,0.40182602223552144
3,1,3,1,0.40182602223552144
4,1,3,1,0.40182602223552144
5,1,3,1,0.40182602223552144
6,1,3,1,0.40182602223552144
7,1,3,1,0.40182602223552144
8,1,3,1,0.40182602223552144
9,1,3,1,0.40182602223552144
10,1,3,1,0.40182602223552144
11,1,3,1,0.40182602223552144
12,1,3,1,0.40182602223552144
13,1,3,1,0.40182602223552144
14,1,3,1,0.40182602223552144
15,1,3,1,0.40182602223552144
16,1,3,1,0.40182602223552144
17,1,3,1,0.5935770375580539
18,1,3,1,0.5935770375580539
19,1,3,1,0.5935770375580539
20,1,3,1,0.5935770375580539
0,1,3,2,0.8378498156477621
1,1,3,2,0.8378498156477621
2,1,3,2,0.8378498156477621
3,1,3,2,0.8378498156477621
4,1,3,2,0.8378498156477621
5,1,3,2,0.8378498156477621
6,1,3,2,1.0605063235638357
7,1,3,2,1.0605063235638357
8,1,3,2,1.0605063235638357
9,1,3,2,1.0605063235638357
10,1,3,2,1.0605063235638357
11,1,3,2,1.0605063235638357
12,1,3,2,1.0605063235638357
13,1,3,2,1.0605063235638357
14,1,3,2,1.0605063235638357
15,1,3,2,1.0605063235638357
16,1,3,2,1.0605063235638357
17,1,3,2,0.9561071932638001
18,1,3,2,0.9561071932638001
19,1,3,2,0.9561071932638001
20,1,3,2,0.9561071932638001
0,1,3,3,0.6970817679080568
